index,gt,pred,file_name
829,transistor-cut_lead,transistor-good,20829
855,capsule-crack,capsule-poke,20855
858,transistor-good,transistor-bent_lead,20858
866,toothbrush-defective,toothbrush-good,20866
873,pill-faulty_imprint,pill-good,20873
883,capsule-crack,capsule-poke,20883
887,pill-color,pill-combined,20887
898,cable-combined,cable-poke_insulation,20898
907,capsule-crack,screw-scratch_head,20907
909,metal_nut-scratch,metal_nut-good,20909
913,capsule-squeeze,capsule-good,20913
931,cable-cable_swap,cable-good,20931
933,metal_nut-color,metal_nut-bent,20933
956,capsule-poke,capsule-good,20956
965,cable-missing_wire,cable-poke_insulation,20965
975,tile-crack,tile-good,20975
984,pill-scratch,pill-crack,20984
993,cable-missing_wire,cable-combined,20993
1006,cable-missing_wire,cable-combined,21006
1017,zipper-split_teeth,zipper-squeezed_teeth,21017
1027,pill-faulty_imprint,pill-contamination,21027
1035,screw-good,screw-scratch_head,21035
1047,grid-broken,grid-bent,21047
1062,cable-cable_swap,cable-good,21062
1063,screw-manipulated_front,screw-thread_side,21063
1068,carpet-hole,carpet-cut,21068
1075,zipper-good,zipper-split_teeth,21075
1106,zipper-squeezed_teeth,zipper-combined,21106
1114,bottle-good,wood-combined,21114
1123,pill-scratch,pill-crack,21123
1142,capsule-crack,capsule-squeeze,21142
1145,cable-cut_inner_insulation,cable-combined,21145
1154,zipper-broken_teeth,zipper-split_teeth,21154
1157,screw-manipulated_front,screw-thread_side,21157
1163,cable-poke_insulation,pill-contamination,21163
1176,leather-cut,leather-glue,21176
1184,toothbrush-defective,toothbrush-good,21184
1192,capsule-squeeze,capsule-good,21192
1200,screw-good,screw-thread_side,21200
1216,capsule-squeeze,capsule-good,21216
1221,metal_nut-scratch,metal_nut-bent,21221
1222,pill-contamination,pill-good,21222
1223,capsule-poke,capsule-crack,21223
1231,carpet-hole,carpet-cut,21231
1233,transistor-bent_lead,transistor-good,21233
1240,pill-color,pill-good,21240
1245,carpet-hole,carpet-cut,21245
1251,screw-good,screw-scratch_head,21251
1255,screw-good,screw-scratch_head,21255
1261,pill-faulty_imprint,pill-contamination,21261
1270,zipper-broken_teeth,zipper-split_teeth,21270
1273,pill-scratch,pill-good,21273
1294,pill-scratch,pill-good,21294
1306,carpet-hole,carpet-cut,21306
1352,grid-thread,carpet-thread,21352
1371,screw-manipulated_front,screw-good,21371
1381,toothbrush-defective,toothbrush-good,21381
1390,zipper-split_teeth,zipper-good,21390
1397,carpet-good,carpet-thread,21397
1407,pill-good,pill-color,21407
1417,capsule-scratch,capsule-good,21417
1426,screw-scratch_neck,screw-thread_side,21426
1431,toothbrush-defective,toothbrush-good,21431
1443,capsule-scratch,capsule-good,21443
1445,hazelnut-crack,hazelnut-hole,21445
1446,carpet-hole,carpet-cut,21446
1452,carpet-metal_contamination,carpet-thread,21452
1459,carpet-good,carpet-metal_contamination,21459
1464,carpet-hole,carpet-cut,21464
1467,zipper-split_teeth,zipper-broken_teeth,21467
1473,bottle-contamination,bottle-good,21473
1479,wood-scratch,tile-rough,21479
1494,screw-manipulated_front,screw-thread_side,21494
1499,pill-scratch,pill-good,21499
1501,pill-scratch,pill-good,21501
1514,capsule-crack,capsule-poke,21514
1525,pill-contamination,pill-good,21525
1528,grid-good,grid-broken,21528
1529,cable-combined,cable-cut_inner_insulation,21529
1536,metal_nut-color,metal_nut-bent,21536
1540,wood-scratch,wood-good,21540
1561,screw-manipulated_front,screw-good,21561
1566,wood-hole,wood-combined,21566
1568,pill-scratch,pill-faulty_imprint,21568
1578,zipper-rough,zipper-broken_teeth,21578
1592,pill-contamination,pill-crack,21592
1594,carpet-hole,carpet-cut,21594
1610,toothbrush-defective,toothbrush-good,21610
1629,zipper-combined,zipper-fabric_border,21629
1640,carpet-hole,carpet-cut,21640
1643,grid-metal_contamination,hazelnut-hole,21643
1644,transistor-good,transistor-bent_lead,21644
1648,carpet-hole,carpet-cut,21648
1658,grid-metal_contamination,grid-broken,21658
1662,capsule-crack,capsule-good,21662
1665,zipper-broken_teeth,zipper-split_teeth,21665
1676,bottle-broken_small,bottle-broken_large,21676
1700,toothbrush-defective,toothbrush-good,21700
1701,carpet-hole,carpet-cut,21701
1706,screw-good,screw-thread_side,21706
1709,bottle-broken_large,bottle-broken_small,21709
1714,cable-combined,cable-bent_wire,21714
1717,leather-poke,hazelnut-hole,21717
1727,grid-broken,grid-bent,21727
1737,transistor-bent_lead,transistor-good,21737
1742,pill-faulty_imprint,pill-scratch,21742
1749,wood-scratch,tile-rough,21749
1751,bottle-contamination,bottle-good,21751
1757,cable-poke_insulation,cable-good,21757
1779,capsule-poke,capsule-good,21779
1788,pill-crack,pill-faulty_imprint,21788
1809,zipper-fabric_border,zipper-good,21809
1820,toothbrush-defective,toothbrush-good,21820
1831,carpet-hole,carpet-cut,21831
1840,pill-scratch,pill-crack,21840
1851,zipper-broken_teeth,zipper-good,21851
1852,zipper-fabric_interior,zipper-combined,21852
1859,cable-good,cable-cable_swap,21859
1875,screw-manipulated_front,screw-good,21875
1909,pill-contamination,pill-crack,21909
1916,screw-good,screw-thread_side,21916
1918,zipper-fabric_interior,zipper-combined,21918
1923,transistor-good,transistor-misplaced,21923
1934,metal_nut-color,metal_nut-good,21934
1944,cable-combined,cable-poke_insulation,21944
1950,cable-cut_outer_insulation,cable-cable_swap,21950
1957,pill-combined,pill-faulty_imprint,21957
1968,cable-combined,cable-bent_wire,21968
1990,zipper-split_teeth,zipper-squeezed_teeth,21990
1991,cable-good,cable-poke_insulation,21991
1999,screw-good,screw-thread_side,21999
2000,screw-good,screw-thread_side,22000
2012,metal_nut-color,metal_nut-good,22012
2020,hazelnut-crack,hazelnut-hole,22020
2028,wood-scratch,tile-rough,22028
2031,zipper-squeezed_teeth,zipper-good,22031
2034,screw-good,screw-thread_side,22034
2041,metal_nut-scratch,metal_nut-bent,22041
2049,pill-contamination,pill-crack,22049
2055,zipper-good,zipper-broken_teeth,22055
2067,hazelnut-crack,hazelnut-cut,22067
2073,carpet-hole,carpet-cut,22073
2078,pill-color,pill-combined,22078
2083,pill-good,pill-contamination,22083
2089,capsule-poke,capsule-good,22089
2095,pill-color,pill-good,22095
2120,screw-manipulated_front,screw-good,22120
2130,grid-thread,tile-gray_stroke,22130
2138,pill-scratch,pill-faulty_imprint,22138
2143,toothbrush-defective,toothbrush-good,22143
