index,gt,pred,file_name
362,leather-fold,leather-cut,20362
365,zipper-rough,zipper-broken_teeth,20365
366,wood-color,wood-hole,20366
394,capsule-poke,capsule-good,20394
395,transistor-bent_lead,transistor-good,20395
403,zipper-combined,zipper-fabric_border,20403
404,bottle-good,bottle-contamination,20404
406,pill-contamination,pill-good,20406
409,pill-faulty_imprint,pill-good,20409
422,metal_nut-color,metal_nut-bent,20422
425,pill-crack,pill-good,20425
428,leather-glue,leather-poke,20428
439,grid-metal_contamination,grid-thread,20439
444,transistor-good,transistor-misplaced,20444
445,transistor-cut_lead,transistor-bent_lead,20445
466,capsule-crack,capsule-poke,20466
474,screw-manipulated_front,screw-good,20474
482,carpet-cut,carpet-hole,20482
484,screw-scratch_neck,screw-good,20484
488,hazelnut-crack,hazelnut-hole,20488
491,cable-missing_wire,cable-combined,20491
493,screw-thread_side,screw-good,20493
495,capsule-crack,capsule-good,20495
496,transistor-cut_lead,transistor-bent_lead,20496
520,tile-good,tile-gray_stroke,20520
525,zipper-combined,zipper-fabric_border,20525
528,capsule-poke,capsule-good,20528
539,toothbrush-defective,toothbrush-good,20539
549,pill-good,pill-scratch,20549
551,capsule-crack,capsule-good,20551
558,zipper-broken_teeth,zipper-fabric_interior,20558
559,screw-thread_side,screw-good,20559
569,screw-thread_side,screw-scratch_neck,20569
578,grid-good,grid-glue,20578
580,pill-contamination,pill-good,20580
581,metal_nut-good,metal_nut-bent,20581
583,carpet-hole,carpet-cut,20583
595,metal_nut-bent,metal_nut-good,20595
598,zipper-broken_teeth,zipper-split_teeth,20598
604,pill-crack,pill-good,20604
608,transistor-cut_lead,transistor-misplaced,20608
611,grid-good,grid-glue,20611
615,capsule-crack,capsule-poke,20615
616,pill-good,pill-color,20616
621,cable-cut_outer_insulation,cable-good,20621
631,toothbrush-defective,toothbrush-good,20631
634,zipper-broken_teeth,zipper-good,20634
636,cable-missing_wire,cable-combined,20636
642,transistor-cut_lead,transistor-good,20642
653,screw-manipulated_front,screw-good,20653
654,grid-thread,zipper-fabric_interior,20654
658,capsule-squeeze,capsule-good,20658
666,transistor-good,transistor-misplaced,20666
671,pill-crack,pill-good,20671
677,pill-crack,pill-faulty_imprint,20677
683,pill-scratch,pill-good,20683
684,cable-cut_outer_insulation,cable-good,20684
690,metal_nut-color,metal_nut-good,20690
693,pill-color,pill-good,20693
699,bottle-good,bottle-contamination,20699
703,screw-scratch_neck,screw-thread_side,20703
733,pill-faulty_imprint,pill-good,20733
735,metal_nut-color,metal_nut-bent,20735
738,capsule-scratch,capsule-faulty_imprint,20738
743,pill-faulty_imprint,pill-good,20743
748,pill-combined,pill-crack,20748
749,capsule-crack,capsule-poke,20749
754,capsule-scratch,capsule-faulty_imprint,20754
763,pill-scratch,pill-faulty_imprint,20763
766,grid-broken,grid-bent,20766
772,wood-scratch,wood-combined,20772
779,capsule-crack,capsule-good,20779
781,leather-color,leather-glue,20781
786,toothbrush-defective,toothbrush-good,20786
789,cable-cut_outer_insulation,cable-good,20789
811,capsule-scratch,capsule-faulty_imprint,20811
820,pill-scratch,pill-faulty_imprint,20820
829,transistor-cut_lead,transistor-good,20829
845,transistor-bent_lead,transistor-good,20845
855,capsule-crack,capsule-poke,20855
857,hazelnut-crack,hazelnut-cut,20857
866,toothbrush-defective,toothbrush-good,20866
867,cable-cut_outer_insulation,cable-good,20867
871,leather-glue,leather-poke,20871
883,capsule-crack,capsule-poke,20883
887,pill-color,pill-combined,20887
896,pill-good,pill-scratch,20896
898,cable-cut_outer_insulation,cable-poke_insulation,20898
903,pill-good,pill-color,20903
905,zipper-rough,zipper-broken_teeth,20905
907,capsule-crack,capsule-good,20907
912,zipper-broken_teeth,zipper-fabric_interior,20912
919,transistor-good,transistor-misplaced,20919
933,metal_nut-color,metal_nut-bent,20933
947,capsule-scratch,capsule-good,20947
956,capsule-poke,capsule-good,20956
957,transistor-bent_lead,transistor-good,20957
962,pill-crack,pill-good,20962
963,hazelnut-hole,wood-hole,20963
965,cable-missing_wire,cable-combined,20965
972,bottle-broken_large,bottle-broken_small,20972
993,cable-missing_wire,cable-combined,20993
1006,cable-missing_wire,cable-combined,21006
1016,pill-crack,pill-good,21016
1027,pill-faulty_imprint,pill-contamination,21027
1047,grid-broken,grid-bent,21047
1049,transistor-bent_lead,transistor-good,21049
1058,zipper-fabric_border,zipper-good,21058
1071,pill-contamination,pill-faulty_imprint,21071
1075,zipper-good,zipper-split_teeth,21075
1083,pill-crack,pill-good,21083
1097,wood-scratch,hazelnut-cut,21097
1106,zipper-squeezed_teeth,zipper-combined,21106
1109,capsule-poke,capsule-good,21109
1123,pill-scratch,pill-good,21123
1124,tile-crack,hazelnut-cut,21124
1134,screw-thread_side,screw-good,21134
1142,capsule-crack,capsule-squeeze,21142
1154,zipper-broken_teeth,zipper-split_teeth,21154
1163,cable-poke_insulation,cable-good,21163
1175,pill-faulty_imprint,pill-good,21175
1176,leather-cut,leather-poke,21176
1184,toothbrush-defective,toothbrush-good,21184
1192,capsule-squeeze,capsule-good,21192
1198,toothbrush-defective,toothbrush-good,21198
1216,capsule-squeeze,capsule-good,21216
1221,metal_nut-scratch,metal_nut-bent,21221
1222,pill-contamination,pill-good,21222
1223,capsule-poke,capsule-good,21223
1228,grid-metal_contamination,grid-broken,21228
1232,pill-scratch,pill-faulty_imprint,21232
1233,transistor-bent_lead,transistor-good,21233
1255,screw-good,screw-scratch_head,21255
1257,transistor-bent_lead,transistor-good,21257
1261,pill-faulty_imprint,pill-contamination,21261
1273,pill-scratch,pill-good,21273
1278,transistor-damaged_case,transistor-good,21278
1290,pill-good,pill-color,21290
1318,transistor-cut_lead,transistor-good,21318
1320,zipper-rough,zipper-broken_teeth,21320
1353,transistor-cut_lead,transistor-good,21353
1371,screw-manipulated_front,screw-good,21371
1381,toothbrush-defective,toothbrush-good,21381
1382,leather-cut,leather-poke,21382
1402,cable-poke_insulation,cable-good,21402
1407,pill-good,pill-color,21407
1417,capsule-scratch,capsule-good,21417
1426,screw-scratch_neck,screw-thread_side,21426
1443,capsule-scratch,capsule-good,21443
1459,carpet-good,carpet-metal_contamination,21459
1465,leather-poke,leather-cut,21465
1473,bottle-contamination,bottle-good,21473
1478,cable-cut_outer_insulation,cable-good,21478
1479,wood-scratch,tile-rough,21479
1495,hazelnut-crack,hazelnut-cut,21495
1499,pill-scratch,pill-good,21499
1500,pill-faulty_imprint,pill-good,21500
1514,capsule-crack,capsule-poke,21514
1528,grid-good,grid-broken,21528
1532,grid-broken,grid-glue,21532
1536,metal_nut-color,metal_nut-good,21536
1540,wood-scratch,wood-good,21540
1561,screw-manipulated_front,screw-good,21561
1568,pill-scratch,pill-faulty_imprint,21568
1570,pill-crack,pill-good,21570
1574,pill-faulty_imprint,pill-good,21574
1578,zipper-rough,zipper-broken_teeth,21578
1583,leather-fold,leather-cut,21583
1585,cable-poke_insulation,cable-bent_wire,21585
1594,carpet-hole,carpet-cut,21594
1606,carpet-cut,carpet-hole,21606
1610,toothbrush-defective,toothbrush-good,21610
1619,transistor-damaged_case,transistor-good,21619
1629,zipper-combined,zipper-fabric_border,21629
1662,capsule-crack,capsule-good,21662
1665,zipper-broken_teeth,zipper-split_teeth,21665
1689,pill-combined,pill-color,21689
1691,capsule-poke,capsule-good,21691
1701,carpet-hole,carpet-cut,21701
1705,capsule-poke,capsule-good,21705
1709,bottle-broken_large,bottle-broken_small,21709
1714,cable-combined,cable-bent_wire,21714
1719,grid-broken,grid-glue,21719
1722,hazelnut-hole,wood-hole,21722
1726,cable-missing_wire,cable-combined,21726
1727,grid-broken,grid-bent,21727
1730,leather-glue,leather-poke,21730
1749,wood-scratch,tile-rough,21749
1751,bottle-contamination,bottle-good,21751
1757,cable-poke_insulation,cable-good,21757
1779,capsule-poke,capsule-good,21779
1781,pill-faulty_imprint,pill-good,21781
1788,pill-good,pill-faulty_imprint,21788
1810,zipper-good,zipper-broken_teeth,21810
1820,toothbrush-defective,toothbrush-good,21820
1831,carpet-hole,carpet-cut,21831
1840,pill-scratch,pill-contamination,21840
1845,screw-thread_side,screw-scratch_neck,21845
1848,pill-combined,pill-color,21848
1851,zipper-broken_teeth,zipper-split_teeth,21851
1874,carpet-thread,carpet-metal_contamination,21874
1875,screw-manipulated_front,screw-good,21875
1881,capsule-crack,capsule-good,21881
1889,capsule-crack,capsule-good,21889
1909,pill-contamination,pill-faulty_imprint,21909
1918,zipper-fabric_interior,zipper-combined,21918
1923,transistor-good,transistor-misplaced,21923
1927,pill-good,pill-scratch,21927
1934,metal_nut-color,metal_nut-good,21934
1944,cable-cut_outer_insulation,cable-poke_insulation,21944
1950,cable-cut_outer_insulation,cable-combined,21950
1957,pill-combined,pill-faulty_imprint,21957
1968,cable-combined,cable-bent_wire,21968
1974,pill-crack,pill-scratch,21974
1985,leather-color,leather-glue,21985
1992,cable-cut_outer_insulation,cable-good,21992
1995,capsule-crack,capsule-good,21995
1999,screw-good,screw-thread_side,21999
2000,screw-good,screw-thread_side,22000
2002,carpet-metal_contamination,carpet-good,22002
2012,metal_nut-color,metal_nut-good,22012
2027,capsule-poke,capsule-good,22027
2028,wood-scratch,wood-combined,22028
2031,zipper-squeezed_teeth,zipper-good,22031
2034,screw-good,screw-thread_side,22034
2053,transistor-cut_lead,transistor-good,22053
2054,screw-manipulated_front,screw-good,22054
2055,zipper-good,zipper-rough,22055
2067,hazelnut-crack,hazelnut-cut,22067
2086,transistor-damaged_case,transistor-good,22086
2088,screw-thread_side,screw-good,22088
2089,capsule-poke,capsule-good,22089
2092,pill-faulty_imprint,pill-good,22092
2097,pill-color,pill-combined,22097
2104,cable-good,cable-bent_wire,22104
2116,capsule-poke,capsule-good,22116
2120,screw-manipulated_front,screw-good,22120
2131,pill-color,pill-combined,22131
2138,pill-scratch,pill-faulty_imprint,22138
2143,toothbrush-defective,toothbrush-good,22143
2152,cable-poke_insulation,cable-good,22152
